Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2022/10/2,1,D1,Daughter1_D001,32.74,6.58,-420.18,3.36,1419.1,0.2,2000,0,0.04,90.07,78.2,4.97,2.25,8.05,530,0.8569,0.00E+00,27.74,52.24,20.02,300.34,2,1.12
2022/10/3,2,D1,Daughter1_D002,32.67,6.57,-423.87,3.45,1475.95,0.2,2000,0,0.13,73.7,51.53,3.77,0,4.05,240,0.7462,0.00E+00,23.21,54.14,22.65,256.05,2.08,1.09
2022/10/4,3,D1,Daughter1_D003,32.97,6.52,-428.92,3.5,1481.7,0.2,2000,0,1.33,75.72,55.74,5.18,0,4.15,280,0.7139,0.00E+00,18.12,56.23,25.65,239.28,2.08,1.13
2022/10/5,4,D1,Daughter1_D004,32.78,6.53,-430.92,3.52,1467.2,0.2,2000,0,1.84,65.83,47.31,4.82,0,3.35,330,0.6917,0.00E+00,17.19,58.14,24.67,316.96,2.1,1.12
2022/10/6,5,D1,Daughter1_D005,32.73,6.54,-320.3,3.51,1480.4,0.2,2000,0,1.26,61.12,41.54,3.71,0,2.77,260,0.6222,0.00E+00,21.18,56.35,22.47,269.69,2.08,1.12
2022/10/7,6,D1,Daughter1_D006,32.99,6.5,-365.04,3.49,1465.6,0.4,2000,0,2.15,64.96,44.63,3.53,0,1.81,190,0.654,0.00E+00,18.51,57.74,23.75,256,2.12,1.12
2022/10/8,7,D1,Daughter1_D007,32.83,6.48,-380.3,3.41,1439.7,0.4,2000,0,1.31,84.08,75.18,3.95,0.34,3.42,290,0.6255,0.00E+00,19.6,57.29,23.11,230.95,2.12,1.14
2022/10/9,8,D1,Daughter1_D008,32.8,6.51,-419.73,3.41,1415.15,0.4,2000,0,0.53,76.58,68,3.08,0.7,1.78,270,0.8223,0.00E+00,17.34,59,23.66,56.24,2.17,1.04
2022/10/10,9,D1,Daughter1_D009,32.78,6.57,-259.12,3.36,1526.95,0.4,2000,0,0,53.93,40.88,4.8,0,0,130,0.7345,0.00E+00,18.15,58.13,23.72,77.38,2.2,1.12
2022/10/11,10,D1,Daughter1_D010,32.78,6.63,-367.32,3.44,1485.35,0.4,2000,0,0.84,45.98,31.66,5.31,1.26,0,160,0.5839,0.00E+00,16.51,59.05,24.44,61.22,2.13,1.06
2022/10/12,11,D1,Daughter1_D011,32.71,6.67,-426.52,3.5,1479.95,0.6,2000,0,0.42,33.7,18.72,3.02,1.01,0,330,0.9595,0.00E+00,15.37,59.31,25.31,88.44,2.13,1.07
2022/10/13,12,D1,Daughter1_D012,33.69,6.66,-425.83,3.48,1491,0.6,2000,0,1.51,20.03,8.5,2.68,0,0,450,0.9665,0.00E+00,13.59,58.98,27.43,96.75,2.19,1.1
2022/10/14,13,D1,Daughter1_D013,33.22,6.63,-432.67,3.51,1490.8,0.6,2000,0,1.28,29.91,14.31,0,2.91,0,140,0.8708,0.00E+00,11.62,60.78,27.6,80.44,2.15,1.12
