SampleID in library D1,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D2,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D3,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D4,Index 1 (i7) adapter,Index 2 (i5) adapter,,,,
Daughter1_001,N702,S502,,Daughter2_001,N702,S502,,Daughter3_001,N702,S502,,Daughter4_001,N702,S502,,,,
Daughter1_002,N703,S502,,Daughter2_002,N703,S502,,Daughter3_002,N703,S502,,Daughter4_002,N703,S502,,,,
Daughter1_003,N704,S502,,Daughter2_003,N704,S502,,Daughter3_003,N704,S502,,Daughter4_003,N704,S502,,,,
Daughter1_004,N705,S502,,Daughter2_004,N705,S502,,Daughter3_004,N705,S502,,Daughter4_004,N705,S502,,,,
Daughter1_005,N706,S502,,Daughter2_005,N706,S502,,Daughter3_005,N706,S502,,Daughter4_005,N706,S502,,,,
Daughter1_006,N707,S502,,Daughter2_006,N707,S502,,Daughter3_006,N707,S502,,Daughter4_006,N707,S502,,,,
Daughter1_007,N710,S502,,Daughter2_007,N710,S502,,Daughter3_007,N710,S502,,Daughter4_007,N710,S502,,,,
Daughter1_008,N711,S502,,Daughter2_008,N711,S502,,Daughter3_008,N711,S502,,Daughter4_008,N711,S502,,,,
Daughter1_009,N712,S502,,Daughter2_009,N712,S502,,Daughter3_009,N712,S502,,Daughter4_009,N712,S502,,,,
Daughter1_010,N714,S502,,Daughter2_010,N714,S502,,Daughter3_010,N714,S502,,Daughter4_010,N714,S502,,,,
Daughter1_011,N715,S502,,Daughter2_011,N715,S502,,Daughter3_011,N715,S502,,Daughter4_011,N715,S502,,,,
Daughter1_012,N701,S503,,Daughter2_012,N701,S503,,Daughter3_012,N701,S503,,Daughter4_012,N701,S503,,,,
Daughter1_013,N702,S503,,Daughter2_013,N702,S503,,Daughter3_013,N702,S503,,Daughter4_013,N702,S503,,,,
Daughter1_014,N703,S503,,Daughter2_014,N703,S503,,Daughter3_014,N703,S503,,Daughter4_014,N703,S503,,,,
Daughter1_015,N704,S503,,Daughter2_015,N704,S503,,Daughter3_015,N704,S503,,Daughter4_015,N704,S503,,,,
Daughter1_016,N705,S503,,Daughter2_016,N705,S503,,Daughter3_016,N705,S503,,Daughter4_016,N705,S503,,,,
Daughter1_017,N706,S503,,Daughter2_017,N706,S503,,Daughter3_017,N706,S503,,Daughter4_017,N706,S503,,,,
Daughter1_018,N707,S503,,Daughter2_018,N707,S503,,Daughter3_018,N707,S503,,Daughter4_018,N707,S503,,,,
Daughter1_019,N710,S503,,Daughter2_019,N710,S503,,Daughter3_019,N710,S503,,Daughter4_019,N710,S503,,,,
Daughter1_020,N711,S503,,Daughter2_020,N711,S503,,Daughter3_020,N711,S503,,Daughter4_020,N711,S503,,,,
Daughter1_021,N712,S503,,Daughter2_021,N712,S503,,Daughter3_021,N712,S503,,Daughter4_021,N712,S503,,,,
Daughter1_022,N714,S503,,Daughter2_022,N714,S503,,Daughter3_022,N714,S503,,Daughter4_022,N714,S503,,,,
Daughter1_023,N715,S503,,Daughter2_023,N715,S503,,Daughter3_023,N715,S503,,Daughter4_023,N715,S503,,,,
Daughter1_024,N701,S505,,Daughter2_024,N701,S505,,Daughter3_024,N701,S505,,Daughter4_024,N701,S505,,,,
Daughter1_025,N702,S505,,Daughter2_025,N702,S505,,Daughter3_025,N702,S505,,Daughter4_025,N702,S505,,,,
Daughter1_026,N703,S505,,Daughter2_026,N703,S505,,Daughter3_026,N703,S505,,Daughter4_026,N703,S505,,,,
Daughter1_027,N704,S505,,Daughter2_027,N704,S505,,Daughter3_027,N704,S505,,Daughter4_027,N704,S505,,,,
Daughter1_028,N705,S505,,Daughter2_028,N705,S505,,Daughter3_028,N706,S505,,Daughter4_028,N705,S505,,,,
Daughter1_029,N706,S505,,Daughter2_029,N706,S505,,Daughter3_029,N707,S505,,Daughter4_029,N706,S505,,,,
Daughter1_030,N707,S505,,Daughter2_030,N707,S505,,Daughter3_030,N710,S505,,Daughter4_030,N707,S505,,,,
Daughter1_031,N710,S505,,Daughter2_031,N710,S505,,Daughter3_031,N711,S505,,Daughter4_031,N710,S505,,,,
Daughter1_032,N711,S505,,Daughter2_032,N711,S505,,Daughter3_032,N712,S505,,Daughter4_032,N711,S505,,,,
Daughter1_033,N712,S505,,Daughter2_033,N712,S505,,Daughter3_033,N714,S505,,Daughter4_033,N712,S505,,,,
Daughter1_034,N714,S505,,Daughter2_034,N714,S505,,Daughter3_034,N715,S505,,Daughter4_034,N714,S505,,,,
Daughter1_035,N715,S505,,Daughter2_035,N715,S505,,Daughter3_035,N701,S506,,Daughter4_035,N715,S505,,,,
Daughter1_036,N701,S506,,Daughter2_036,N701,S506,,Daughter3_036,N702,S506,,Daughter4_036,N701,S506,,,,
Daughter1_037,N702,S506,,Daughter2_037,N702,S506,,Daughter3_037,N703,S506,,Daughter4_037,N702,S506,,,,
Daughter1_038,N703,S506,,Daughter2_038,N703,S506,,Daughter3_038,N704,S506,,Daughter4_038,N703,S506,,,,
Daughter1_039,N704,S506,,Daughter2_039,N704,S506,,Daughter3_039,N705,S506,,Daughter4_039,N704,S506,,,,
Daughter1_040,N705,S506,,Daughter2_040,N705,S506,,Daughter3_040,N706,S506,,Daughter4_040,N705,S506,,,,
Daughter1_041,N706,S506,,Daughter2_041,N706,S506,,Daughter3_041,N707,S506,,Daughter4_041,N706,S506,,,,
Daughter1_042,N707,S506,,Daughter2_042,N707,S506,,Daughter3_042,N710,S506,,Daughter4_042,N707,S506,,,,
Daughter1_043,N710,S506,,Daughter2_043,N710,S506,,Daughter3_043,N711,S506,,Daughter4_043,N710,S506,,,,
Daughter1_044,N711,S506,,Daughter2_044,N711,S506,,Daughter3_044,N712,S506,,Daughter4_044,N711,S506,,,,
Daughter1_045,N712,S506,,Daughter2_045,N712,S506,,Daughter3_045,N714,S506,,Daughter4_045,N712,S506,,,,
Daughter1_046,N714,S506,,Daughter2_046,N714,S506,,Daughter3_046,N715,S506,,Daughter4_046,N714,S506,,,,
Daughter1_047,N715,S506,,Daughter2_047,N715,S506,,Daughter3_047,N701,S507,,Daughter4_047,N715,S506,,,,
Daughter1_048,N701,S507,,Daughter2_048,N701,S507,,Daughter3_048,N702,S507,,Daughter4_048,N701,S507,,,,
