sample-id	Operation-day	Date	Salt	Reactor
Daughter1_D001	1	2022/10/2	0	Daughter1
Daughter1_D002	2	2022/10/3	0	Daughter1
Daughter1_D003	3	2022/10/4	0	Daughter1
Daughter1_D004	4	2022/10/5	0	Daughter1
Daughter1_D005	5	2022/10/6	0	Daughter1
Daughter1_D006	6	2022/10/7	0	Daughter1
Daughter1_D007	7	2022/10/8	0	Daughter1
Daughter1_D008	8	2022/10/9	0	Daughter1
Daughter1_D009	9	2022/10/10	0	Daughter1
Daughter1_D010	10	2022/10/11	0	Daughter1
Daughter1_D011	11	2022/10/12	0	Daughter1
Daughter1_D012	12	2022/10/13	0	Daughter1
Daughter1_D013	13	2022/10/14	0	Daughter1
Daughter1_D014	14	2022/10/15	0	Daughter1
Daughter1_D015	15	2022/10/16	0	Daughter1
Daughter1_D016	16	2022/10/17	0	Daughter1
Daughter1_D017	17	2022/10/18	0	Daughter1
Daughter1_D018	18	2022/10/19	0	Daughter1
Daughter1_D019	19	2022/10/20	0	Daughter1
Daughter1_D020	20	2022/10/21	0	Daughter1
Daughter1_D021	21	2022/10/22	0	Daughter1
Daughter1_D022	22	2022/10/23	0	Daughter1
Daughter1_D023	23	2022/10/24	0	Daughter1
Daughter1_D024	24	2022/10/25	0	Daughter1
Daughter1_D025	25	2022/10/26	0	Daughter1
Daughter1_D026	26	2022/10/27	0	Daughter1
Daughter1_D027	27	2022/10/28	0	Daughter1
Daughter1_D028	28	2022/10/29	0	Daughter1
Daughter1_D029	29	2022/10/30	0	Daughter1
Daughter1_D030	30	2022/10/31	0	Daughter1
Daughter1_D031	31	2022/11/1	0	Daughter1
Daughter1_D032	32	2022/11/2	0	Daughter1
Daughter1_D033	33	2022/11/3	0	Daughter1
Daughter1_D034	34	2022/11/4	0	Daughter1
Daughter1_D035	35	2022/11/5	0	Daughter1
Daughter1_D036	36	2022/11/6	0	Daughter1
Daughter1_D037	37	2022/11/7	0	Daughter1
Daughter1_D038	38	2022/11/8	0	Daughter1
Daughter1_D039	39	2022/11/9	0	Daughter1
Daughter1_D040	40	2022/11/10	0	Daughter1
